n,time
2,364.58386832579185
3,614.2182318681319
4,957.7440476190477
5,1329.94859
6,1842.1393100000003
7,2408.5724444444445
9,3710.39535
11,5539.410366666667
14,8688.8039
17,12337.8684
21,18954.4943
26,28235.2349
32,41969.776
39,61542.1545
48,92006.5946
60,144747.3293
74,220509.2299
91,326697.5168
113,506898.9012521633
139,770402.1840519239
172,1.1595959344947736e6
213,1.785017898856326e6
263,2.728120481703987e6
326,4.1675649941618014e6
403,6.440658635309278e6
498,9.70831318446602e6
615,1.4980882023952097e7
761,2.280212629090909e7
941,3.472687218055555e7
1163,5.3474469904255316e7
1438,8.127293208064516e7
1778,1.235955966097561e8
2198,1.910800551111111e8
2718,2.872764428888889e8
3360,4.417806136666667e8
4154,6.8654939425e8
5136,1.0436814106e9
6350,1.5889474025e9
7852,2.4053206373333335e9
9708,3.68277563e9
12002,5.598490338e9
14839,8.649056064e9
18347,1.315285772e10
22684,2.0280400057e10
28046,3.0738503421e10
34676,4.7463167319e10
42872,7.2406927934e10
53006,1.10837558928e11
65536,1.68077109917e11
