n,time
2,738.6631529411765
3,969.9108373333331
4,1122.049353846154
5,1361.86066
6,2207.36289
7,2389.151477777778
9,3234.173588888889
11,4197.277475
14,7800.006660000001
17,9215.9536
21,12741.929
26,21093.0803
32,26553.9887
39,40385.5337
48,52707.8016
60,79581.9434
74,134316.3491
91,189141.2107
113,295760.1649
139,429162.0994
172,667895.4428954424
213,989700.8541087733
263,1.487225442193087e6
326,2.347188951597744e6
403,3.5125364029535865e6
498,5.375578130107527e6
615,8.141624148208469e6
761,1.2473094653366584e7
941,1.9071087703422055e7
1163,2.860013752e7
1438,4.362788022608696e7
1778,6.727897096e7
2198,1.0274744993877551e8
2718,1.559676345151515e8
3360,2.4178222976190478e8
4154,3.656233805714286e8
5136,5.540005901e8
6350,8.540266765e8
7852,1.310703689e9
9708,1.996595243e9
12002,3.0697022415e9
14839,4.70744258e9
18347,7.001158452e9
22684,1.0779015889e10
28046,1.6810371112e10
34676,2.5819026149e10
42872,3.8762796524e10
53006,5.9485166343e10
65536,8.8464621033e10
