freq,noise
7.000E8,14.982
7.016E8,14.928
7.033E8,14.874
7.049E8,14.821
7.065E8,14.771
7.081E8,14.720
7.097E8,14.670
7.114E8,14.620
7.130E8,14.569
7.146E8,14.519
7.162E8,14.468
7.179E8,14.418
7.195E8,14.367
7.211E8,14.316
7.228E8,14.266
7.244E8,14.216
7.260E8,14.168
7.276E8,14.120
7.292E8,14.073
7.309E8,14.025
7.325E8,13.977
7.341E8,13.930
7.357E8,13.882
7.374E8,13.834
7.390E8,13.786
7.406E8,13.738
7.422E8,13.690
7.439E8,13.643
7.455E8,13.599
7.471E8,13.554
7.487E8,13.510
7.504E8,13.465
7.520E8,13.421
7.536E8,13.376
7.553E8,13.332
7.569E8,13.287
7.585E8,13.243
7.601E8,13.198
7.617E8,13.153
7.634E8,13.110
7.650E8,13.068
7.666E8,13.027
7.683E8,12.985
7.699E8,12.943
7.715E8,12.902
7.731E8,12.860
7.747E8,12.819
7.764E8,12.777
7.780E8,12.735
7.796E8,12.693
7.812E8,12.652
7.829E8,12.611
7.845E8,12.572
7.861E8,12.534
7.878E8,12.495
7.894E8,12.457
7.910E8,12.419
7.926E8,12.380
7.942E8,12.341
7.959E8,12.303
7.975E8,12.264
7.991E8,12.226
8.008E8,12.187
8.024E8,12.149
8.040E8,12.114
8.056E8,12.078
8.072E8,12.043
8.089E8,12.008
8.105E8,11.972
8.121E8,11.937
8.137E8,11.901
8.154E8,11.866
8.170E8,11.830
8.186E8,11.795
8.203E8,11.759
8.219E8,11.724
8.235E8,11.692
8.251E8,11.660
8.268E8,11.627
8.284E8,11.595
8.300E8,11.562
8.316E8,11.530
8.332E8,11.497
8.349E8,11.465
8.365E8,11.432
8.381E8,11.400
8.397E8,11.367
8.414E8,11.335
8.430E8,11.306
8.446E8,11.277
8.463E8,11.248
8.479E8,11.218
8.495E8,11.189
8.511E8,11.160
8.527E8,11.130
8.544E8,11.101
8.560E8,11.071
8.576E8,11.042
8.592E8,11.013
8.609E8,10.984
8.625E8,10.957
8.641E8,10.931
8.658E8,10.905
8.674E8,10.878
8.690E8,10.852
8.706E8,10.825
8.723E8,10.798
8.739E8,10.772
8.755E8,10.745
8.771E8,10.719
8.787E8,10.692
8.804E8,10.667
8.820E8,10.643
8.836E8,10.620
8.853E8,10.596
8.869E8,10.573
8.885E8,10.549
8.901E8,10.526
8.918E8,10.502
8.934E8,10.479
8.950E8,10.456
8.966E8,10.432
8.982E8,10.409
8.999E8,10.386
9.015E8,10.365
9.031E8,10.344
9.047E8,10.324
9.064E8,10.303
9.080E8,10.282
9.096E8,10.262
9.113E8,10.241
9.129E8,10.220
9.145E8,10.199
9.161E8,10.179
9.178E8,10.158
9.194E8,10.138
9.210E8,10.120
9.226E8,10.102
9.242E8,10.084
9.259E8,10.066
9.275E8,10.048
9.291E8,10.030
9.308E8,10.012
9.324E8,9.995
9.340E8,9.977
9.356E8,9.959
9.372E8,9.941
9.389E8,9.924
9.405E8,9.909
9.421E8,9.893
9.438E8,9.878
9.454E8,9.863
9.470E8,9.847
9.486E8,9.832
9.503E8,9.817
9.519E8,9.802
9.535E8,9.787
9.551E8,9.772
9.567E8,9.757
9.584E8,9.742
9.600E8,9.729
9.616E8,9.716
9.633E8,9.703
9.649E8,9.690
9.665E8,9.677
9.681E8,9.664
9.697E8,9.651
9.714E8,9.639
9.730E8,9.626
9.746E8,9.613
9.762E8,9.600
9.779E8,9.588
9.795E8,9.578
9.811E8,9.568
9.828E8,9.558
9.844E8,9.548
9.860E8,9.538
9.876E8,9.527
9.893E8,9.517
9.909E8,9.507
9.925E8,9.497
9.941E8,9.487
9.957E8,9.477
9.974E8,9.468
9.990E8,9.460
1.001E9,9.451
1.002E9,9.443
1.004E9,9.435
1.006E9,9.427
1.007E9,9.418
1.009E9,9.410
1.010E9,9.402
1.012E9,9.394
1.014E9,9.386
1.015E9,9.378
1.017E9,9.371
1.018E9,9.365
1.020E9,9.359
1.022E9,9.354
1.023E9,9.348
1.025E9,9.342
1.027E9,9.336
1.028E9,9.331
1.030E9,9.325
1.032E9,9.319
1.033E9,9.314
1.035E9,9.308
1.036E9,9.303
1.038E9,9.299
1.040E9,9.296
1.041E9,9.292
1.043E9,9.288
1.044E9,9.284
1.046E9,9.280
1.048E9,9.276
1.049E9,9.272
1.051E9,9.269
1.053E9,9.265
1.054E9,9.261
1.056E9,9.258
1.057E9,9.256
1.059E9,9.254
1.061E9,9.252
1.062E9,9.250
1.064E9,9.248
1.066E9,9.246
1.067E9,9.243
1.069E9,9.241
1.071E9,9.239
1.072E9,9.237
1.074E9,9.235
1.075E9,9.234
1.077E9,9.234
1.079E9,9.234
1.080E9,9.234
1.082E9,9.234
1.083E9,9.234
1.085E9,9.234
1.087E9,9.234
1.088E9,9.234
1.090E9,9.234
1.092E9,9.234
1.093E9,9.233
1.095E9,9.234
1.097E9,9.235
1.098E9,9.235
1.100E9,9.236
1.101E9,9.237
1.103E9,9.238
1.105E9,9.239
1.106E9,9.240
1.108E9,9.240
1.110E9,9.241
1.111E9,9.242
1.113E9,9.243
1.114E9,9.244
1.116E9,9.247
1.118E9,9.251
1.119E9,9.254
1.121E9,9.257
1.123E9,9.260
1.124E9,9.263
1.126E9,9.267
1.127E9,9.270
1.129E9,9.273
1.131E9,9.276
1.132E9,9.279
1.134E9,9.282
1.135E9,9.286
1.137E9,9.290
1.139E9,9.293
1.140E9,9.297
1.142E9,9.300
1.144E9,9.304
1.145E9,9.308
1.147E9,9.311
1.148E9,9.315
1.150E9,9.318
1.152E9,9.322
1.153E9,9.326
1.155E9,9.331
1.157E9,9.336
1.158E9,9.341
1.160E9,9.346
1.161E9,9.351
1.163E9,9.357
1.165E9,9.362
1.166E9,9.367
1.168E9,9.372
1.170E9,9.377
1.171E9,9.382
1.173E9,9.388
1.175E9,9.393
1.176E9,9.399
1.178E9,9.405
1.179E9,9.411
1.181E9,9.416
1.183E9,9.422
1.184E9,9.428
1.186E9,9.434
1.188E9,9.440
1.189E9,9.446
1.191E9,9.451
1.192E9,9.457
1.194E9,9.464
1.196E9,9.470
1.197E9,9.477
1.199E9,9.483
1.200E9,9.489
1.202E9,9.496
1.204E9,9.502
1.205E9,9.509
1.207E9,9.515
1.209E9,9.522
1.210E9,9.529
1.212E9,9.535
1.214E9,9.542
1.215E9,9.550
1.217E9,9.557
1.218E9,9.564
1.220E9,9.571
1.222E9,9.578
1.223E9,9.586
1.225E9,9.593
1.227E9,9.600
1.228E9,9.608
1.230E9,9.615
1.231E9,9.623
1.233E9,9.630
1.235E9,9.637
1.236E9,9.645
1.238E9,9.652
1.240E9,9.660
1.241E9,9.667
1.243E9,9.675
1.244E9,9.682
1.246E9,9.690
1.248E9,9.698
1.249E9,9.705
1.251E9,9.713
1.252E9,9.721
1.254E9,9.729
1.256E9,9.737
1.257E9,9.745
1.259E9,9.753
1.261E9,9.761
1.262E9,9.769
1.264E9,9.777
1.265E9,9.785
1.267E9,9.793
1.269E9,9.801
1.270E9,9.809
1.272E9,9.817
1.274E9,9.826
1.275E9,9.834
1.277E9,9.842
1.278E9,9.850
1.280E9,9.858
1.282E9,9.866
1.283E9,9.875
1.285E9,9.883
1.287E9,9.891
1.288E9,9.900
1.290E9,9.908
1.292E9,9.916
1.293E9,9.924
1.295E9,9.933
1.296E9,9.941
1.298E9,9.949
1.300E9,9.957
1.301E9,9.966
1.303E9,9.974
1.304E9,9.982
1.306E9,9.991
1.308E9,9.999
1.309E9,10.007
1.311E9,10.016
1.313E9,10.024
1.314E9,10.032
1.316E9,10.040
1.318E9,10.048
1.319E9,10.057
1.321E9,10.065
1.322E9,10.073
1.324E9,10.082
1.326E9,10.090
1.327E9,10.099
1.329E9,10.107
1.331E9,10.115
1.332E9,10.123
1.334E9,10.131
1.335E9,10.139
1.337E9,10.147
1.339E9,10.156
1.340E9,10.164
1.342E9,10.172
1.343E9,10.180
1.345E9,10.188
1.347E9,10.197
1.348E9,10.205
1.350E9,10.213
1.352E9,10.221
1.353E9,10.228
1.355E9,10.236
1.357E9,10.244
1.358E9,10.252
1.360E9,10.260
1.361E9,10.268
1.363E9,10.276
1.365E9,10.284
1.366E9,10.292
1.368E9,10.300
1.369E9,10.307
1.371E9,10.315
1.373E9,10.322
1.374E9,10.330
1.376E9,10.337
1.378E9,10.345
1.379E9,10.353
1.381E9,10.360
1.382E9,10.368
1.384E9,10.375
1.386E9,10.383
1.387E9,10.391
1.389E9,10.398
1.391E9,10.405
1.392E9,10.412
1.394E9,10.419
1.396E9,10.426
1.397E9,10.433
1.399E9,10.440
1.400E9,10.447
1.402E9,10.455
1.404E9,10.462
1.405E9,10.469
1.407E9,10.476
1.408E9,10.483
1.410E9,10.489
1.412E9,10.496
1.413E9,10.502
1.415E9,10.509
1.417E9,10.515
1.418E9,10.522
1.420E9,10.529
1.421E9,10.535
1.423E9,10.542
1.425E9,10.549
1.426E9,10.555
1.428E9,10.561
1.430E9,10.567
1.431E9,10.573
1.433E9,10.579
1.434E9,10.585
1.436E9,10.591
1.438E9,10.597
1.439E9,10.603
1.441E9,10.609
1.443E9,10.615
1.444E9,10.621
1.446E9,10.627
1.448E9,10.632
1.449E9,10.637
1.451E9,10.642
1.452E9,10.647
1.454E9,10.653
1.456E9,10.658
1.457E9,10.663
1.459E9,10.668
1.461E9,10.673
1.462E9,10.679
1.464E9,10.684
1.465E9,10.689
1.467E9,10.694
1.469E9,10.699
1.470E9,10.704
1.472E9,10.710
1.474E9,10.715
1.475E9,10.720
1.477E9,10.725
1.478E9,10.730
1.480E9,10.736
1.482E9,10.741
1.483E9,10.746
1.485E9,10.751
1.486E9,10.754
1.488E9,10.756
1.490E9,10.759
1.491E9,10.762
1.493E9,10.765
1.495E9,10.768
1.496E9,10.771
1.498E9,10.774
1.499E9,10.777
1.501E9,10.780
1.503E9,10.783
1.504E9,10.786
1.506E9,10.791
1.508E9,10.795
1.509E9,10.800
1.511E9,10.804
1.512E9,10.809
1.514E9,10.814
1.516E9,10.818
1.517E9,10.823
1.519E9,10.827
1.521E9,10.832
1.522E9,10.836
1.524E9,10.840
1.526E9,10.841
1.527E9,10.842
1.529E9,10.842
1.530E9,10.843
1.532E9,10.844
1.534E9,10.845
1.535E9,10.845
1.537E9,10.846
1.538E9,10.847
1.540E9,10.848
1.542E9,10.849
1.543E9,10.850
1.545E9,10.852
1.547E9,10.854
1.548E9,10.857
1.550E9,10.859
1.552E9,10.861
1.553E9,10.863
1.555E9,10.865
1.556E9,10.868
1.558E9,10.870
1.560E9,10.872
1.561E9,10.874
1.563E9,10.876
1.565E9,10.878
1.566E9,10.879
1.568E9,10.881
1.569E9,10.882
1.571E9,10.883
1.573E9,10.885
1.574E9,10.886
1.576E9,10.888
1.578E9,10.889
1.579E9,10.891
1.581E9,10.892
1.582E9,10.893
1.584E9,10.891
1.586E9,10.890
1.587E9,10.889
1.589E9,10.888
1.591E9,10.886
1.592E9,10.885
1.594E9,10.884
1.595E9,10.882
1.597E9,10.881
1.599E9,10.880
1.600E9,10.879
1.602E9,10.879
1.603E9,10.883
1.605E9,10.887
1.607E9,10.892
1.608E9,10.896
1.610E9,10.900
1.612E9,10.905
1.613E9,10.909
1.615E9,10.914
1.616E9,10.918
1.618E9,10.922
1.620E9,10.927
1.621E9,10.929
1.623E9,10.923
1.625E9,10.917
1.626E9,10.911
1.628E9,10.905
1.629E9,10.900
1.631E9,10.894
1.633E9,10.888
1.634E9,10.882
1.636E9,10.876
1.638E9,10.870
1.639E9,10.865
1.641E9,10.861
1.643E9,10.864
1.644E9,10.867
1.646E9,10.871
1.647E9,10.874
1.649E9,10.877
1.651E9,10.881
1.652E9,10.884
1.654E9,10.887
1.655E9,10.891
1.657E9,10.894
1.659E9,10.898
1.660E9,10.899
1.662E9,10.894
1.664E9,10.888
1.665E9,10.883
1.667E9,10.877
1.668E9,10.872
1.670E9,10.866
1.672E9,10.861
1.673E9,10.855
1.675E9,10.850
1.677E9,10.844
1.678E9,10.839
1.680E9,10.835
1.682E9,10.833
1.683E9,10.832
1.685E9,10.830
1.686E9,10.829
1.688E9,10.828
1.690E9,10.826
1.691E9,10.825
1.693E9,10.823
1.695E9,10.822
1.696E9,10.821
1.698E9,10.820
1.699E9,10.819
1.701E9,10.818
1.703E9,10.818
1.704E9,10.817
1.706E9,10.817
1.708E9,10.816
1.709E9,10.816
1.711E9,10.816
1.712E9,10.815
1.714E9,10.815
1.716E9,10.815
1.717E9,10.814
1.719E9,10.813
1.721E9,10.805
1.722E9,10.798
1.724E9,10.790
1.725E9,10.783
1.727E9,10.775
1.729E9,10.768
1.730E9,10.760
1.732E9,10.753
1.734E9,10.746
1.735E9,10.738
1.737E9,10.731
1.738E9,10.727
1.740E9,10.735
1.742E9,10.743
1.743E9,10.751
1.745E9,10.759
1.746E9,10.767
1.748E9,10.776
1.750E9,10.784
1.751E9,10.792
1.753E9,10.801
1.755E9,10.809
1.756E9,10.818
1.758E9,10.822
1.759E9,10.808
1.761E9,10.795
1.763E9,10.781
