freq,s11,s21,s12,s22
6.000E8,-6.121,36.255,-67.142,-31.582
6.020E8,-6.216,36.297,-67.571,-31.648
6.040E8,-6.308,36.340,-70.081,-31.607
6.060E8,-6.407,36.381,-65.698,-31.670
6.080E8,-6.499,36.422,-71.883,-31.468
6.100E8,-6.602,36.463,-66.501,-31.624
6.120E8,-6.704,36.502,-64.869,-31.720
6.140E8,-6.798,36.543,-67.259,-31.483
6.160E8,-6.902,36.582,-67.139,-31.493
6.180E8,-7.015,36.622,-66.530,-31.571
6.200E8,-7.118,36.660,-65.945,-31.511
6.220E8,-7.225,36.698,-65.363,-31.505
6.240E8,-7.332,36.738,-66.703,-31.428
6.260E8,-7.441,36.774,-67.526,-31.356
6.280E8,-7.561,36.810,-67.703,-31.426
6.300E8,-7.676,36.848,-70.584,-31.352
6.320E8,-7.783,36.884,-65.404,-31.375
6.340E8,-7.905,36.919,-70.564,-31.295
6.360E8,-8.025,36.953,-67.553,-31.216
6.380E8,-8.137,36.986,-67.138,-31.328
6.400E8,-8.261,37.021,-69.245,-31.229
6.420E8,-8.387,37.054,-65.503,-31.054
6.440E8,-8.513,37.085,-65.612,-31.144
6.460E8,-8.662,37.118,-69.752,-31.146
6.480E8,-8.785,37.147,-67.454,-31.190
6.500E8,-8.923,37.177,-66.489,-31.089
6.520E8,-9.074,37.203,-62.395,-31.151
6.540E8,-9.249,37.227,-66.961,-31.067
6.560E8,-9.422,37.243,-64.645,-31.060
6.580E8,-9.652,37.248,-67.200,-30.994
6.600E8,-9.836,37.237,-65.152,-30.990
6.620E8,-9.915,37.237,-68.255,-30.969
6.640E8,-9.906,37.278,-66.834,-30.930
6.660E8,-9.927,37.332,-65.984,-30.994
6.680E8,-10.009,37.385,-65.376,-30.984
6.700E8,-10.108,37.426,-66.211,-30.959
6.720E8,-10.253,37.464,-65.138,-30.984
6.740E8,-10.383,37.497,-67.504,-30.951
6.760E8,-10.511,37.527,-68.636,-30.959
6.780E8,-10.663,37.554,-64.650,-31.009
6.800E8,-10.796,37.582,-66.477,-30.892
6.820E8,-10.940,37.607,-64.905,-30.950
6.840E8,-11.085,37.632,-65.301,-30.851
6.860E8,-11.230,37.658,-65.328,-30.764
6.880E8,-11.387,37.681,-64.821,-30.834
6.900E8,-11.530,37.706,-65.335,-30.863
6.920E8,-11.674,37.730,-67.365,-30.840
6.940E8,-11.829,37.753,-66.988,-30.894
6.960E8,-11.957,37.776,-66.772,-30.656
6.980E8,-12.109,37.796,-63.754,-30.729
7.000E8,-12.245,37.819,-65.655,-30.633
7.020E8,-12.380,37.840,-63.672,-30.580
7.040E8,-12.526,37.861,-65.999,-30.707
7.060E8,-12.702,37.880,-64.106,-30.713
7.080E8,-12.816,37.900,-63.623,-30.504
7.100E8,-12.963,37.920,-64.886,-30.640
7.120E8,-13.099,37.939,-63.665,-30.577
7.140E8,-13.240,37.957,-64.476,-30.492
7.160E8,-13.375,37.976,-65.426,-30.536
7.180E8,-13.496,37.994,-63.449,-30.482
7.200E8,-13.634,38.011,-65.083,-30.550
7.220E8,-13.757,38.028,-63.218,-30.360
7.240E8,-13.877,38.044,-62.927,-30.329
7.260E8,-14.004,38.060,-64.390,-30.449
7.280E8,-14.118,38.076,-64.721,-30.230
7.300E8,-14.232,38.092,-61.689,-30.217
7.320E8,-14.328,38.107,-62.965,-30.298
7.340E8,-14.450,38.123,-64.458,-30.240
7.360E8,-14.521,38.138,-62.415,-30.284
7.380E8,-14.631,38.153,-62.889,-30.261
7.400E8,-14.718,38.168,-62.990,-30.152
7.420E8,-14.790,38.180,-65.523,-30.193
7.440E8,-14.881,38.194,-63.570,-30.062
7.460E8,-14.934,38.207,-62.603,-30.062
7.480E8,-14.988,38.220,-63.310,-30.160
7.500E8,-15.021,38.233,-62.412,-30.056
7.520E8,-15.097,38.246,-63.069,-30.010
7.540E8,-15.146,38.258,-62.995,-29.900
7.560E8,-15.182,38.269,-62.764,-29.861
7.580E8,-15.195,38.279,-63.029,-29.892
7.600E8,-15.216,38.292,-63.959,-29.836
7.620E8,-15.216,38.303,-63.768,-29.822
7.640E8,-15.227,38.314,-63.086,-29.728
7.660E8,-15.232,38.324,-61.353,-29.677
7.680E8,-15.204,38.335,-63.907,-29.712
7.700E8,-15.181,38.346,-64.477,-29.672
7.720E8,-15.164,38.353,-62.969,-29.633
7.740E8,-15.139,38.364,-63.291,-29.630
7.760E8,-15.114,38.373,-64.631,-29.623
7.780E8,-15.059,38.382,-62.212,-29.518
7.800E8,-15.013,38.391,-63.727,-29.523
7.820E8,-14.966,38.401,-63.949,-29.492
7.840E8,-14.906,38.409,-63.147,-29.397
7.860E8,-14.846,38.417,-62.549,-29.343
7.880E8,-14.777,38.425,-62.461,-29.306
7.900E8,-14.717,38.432,-63.091,-29.234
7.920E8,-14.637,38.439,-63.788,-29.189
7.940E8,-14.568,38.449,-60.833,-29.187
7.960E8,-14.487,38.456,-63.260,-29.195
7.980E8,-14.411,38.463,-62.521,-29.097
8.000E8,-14.321,38.470,-62.614,-29.105
8.020E8,-14.243,38.477,-61.423,-28.991
8.040E8,-14.157,38.483,-61.005,-28.899
8.060E8,-14.064,38.490,-62.373,-28.899
8.080E8,-13.984,38.497,-63.583,-28.922
8.100E8,-13.904,38.501,-63.118,-28.780
8.120E8,-13.810,38.509,-64.066,-28.774
8.140E8,-13.700,38.513,-61.269,-28.654
8.160E8,-13.625,38.521,-62.392,-28.620
8.180E8,-13.522,38.527,-61.048,-28.563
8.200E8,-13.422,38.532,-61.247,-28.515
8.220E8,-13.344,38.537,-61.138,-28.488
8.240E8,-13.243,38.540,-60.654,-28.370
8.260E8,-13.147,38.547,-60.303,-28.275
8.280E8,-13.065,38.552,-61.147,-28.298
8.300E8,-12.972,38.556,-60.601,-28.236
8.320E8,-12.871,38.560,-60.588,-28.195
8.340E8,-12.780,38.565,-62.394,-28.226
8.360E8,-12.690,38.570,-62.003,-28.146
8.380E8,-12.595,38.575,-61.603,-28.101
8.400E8,-12.511,38.579,-61.916,-28.065
8.420E8,-12.416,38.583,-61.317,-27.963
8.440E8,-12.337,38.587,-59.584,-27.784
8.460E8,-12.234,38.590,-61.557,-27.871
8.480E8,-12.159,38.595,-62.085,-27.834
8.500E8,-12.073,38.599,-60.087,-27.648
8.520E8,-11.994,38.602,-62.252,-27.674
8.540E8,-11.906,38.606,-61.594,-27.689
8.560E8,-11.822,38.610,-61.406,-27.633
8.580E8,-11.738,38.614,-61.422,-27.572
8.600E8,-11.658,38.615,-61.805,-27.486
8.620E8,-11.578,38.622,-61.390,-27.439
8.640E8,-11.502,38.622,-62.031,-27.407
8.660E8,-11.424,38.627,-61.859,-27.387
8.680E8,-11.350,38.630,-62.252,-27.307
8.700E8,-11.268,38.634,-60.546,-27.175
8.720E8,-11.199,38.637,-61.441,-27.162
8.740E8,-11.123,38.640,-61.284,-27.106
8.760E8,-11.061,38.643,-61.486,-27.077
8.780E8,-10.969,38.646,-60.151,-26.980
8.800E8,-10.909,38.647,-60.969,-26.972
8.820E8,-10.849,38.651,-61.526,-27.000
8.840E8,-10.752,38.652,-60.169,-26.851
8.860E8,-10.703,38.655,-61.617,-26.804
8.880E8,-10.613,38.658,-59.498,-26.699
8.900E8,-10.564,38.659,-59.743,-26.668
8.920E8,-10.500,38.662,-60.898,-26.674
8.940E8,-10.425,38.665,-59.765,-26.534
8.960E8,-10.370,38.668,-60.192,-26.533
8.980E8,-10.304,38.669,-59.752,-26.436
9.000E8,-10.237,38.672,-60.068,-26.393
9.020E8,-10.191,38.673,-60.060,-26.409
9.040E8,-10.129,38.676,-60.543,-26.332
