freq,noise
7.000E8,21.676
7.016E8,21.265
7.033E8,20.885
7.049E8,20.545
7.065E8,20.234
7.081E8,19.955
7.097E8,19.702
7.114E8,19.472
7.130E8,19.259
7.146E8,19.069
7.162E8,18.893
7.179E8,18.733
7.195E8,18.588
7.211E8,18.454
7.228E8,18.330
7.244E8,18.217
7.260E8,18.115
7.276E8,18.021
7.292E8,17.932
7.309E8,17.847
7.325E8,17.766
7.341E8,17.687
7.357E8,17.610
7.374E8,17.534
7.390E8,17.458
7.406E8,17.382
7.422E8,17.305
7.439E8,17.228
7.455E8,17.154
7.471E8,17.078
7.487E8,16.998
7.504E8,16.916
7.520E8,16.831
7.536E8,16.742
7.553E8,16.649
7.569E8,16.553
7.585E8,16.453
7.601E8,16.349
7.617E8,16.241
7.634E8,16.130
7.650E8,16.019
7.666E8,15.906
7.683E8,15.788
7.699E8,15.666
7.715E8,15.540
7.731E8,15.412
7.747E8,15.279
7.764E8,15.145
7.780E8,15.007
7.796E8,14.866
7.812E8,14.723
7.829E8,14.580
7.845E8,14.438
7.861E8,14.295
7.878E8,14.150
7.894E8,14.003
7.910E8,13.856
7.926E8,13.708
7.942E8,13.560
7.959E8,13.412
7.975E8,13.264
7.991E8,13.117
8.008E8,12.970
8.024E8,12.826
8.040E8,12.686
8.056E8,12.547
8.072E8,12.410
8.089E8,12.275
8.105E8,12.142
8.121E8,12.012
8.137E8,11.884
8.154E8,11.760
8.170E8,11.638
8.186E8,11.520
8.203E8,11.406
8.219E8,11.295
8.235E8,11.191
8.251E8,11.091
8.268E8,10.994
8.284E8,10.902
8.300E8,10.814
8.316E8,10.730
8.332E8,10.651
8.349E8,10.577
8.365E8,10.507
8.381E8,10.442
8.397E8,10.381
8.414E8,10.326
8.430E8,10.277
8.446E8,10.233
8.463E8,10.193
8.479E8,10.159
8.495E8,10.128
8.511E8,10.103
8.527E8,10.082
8.544E8,10.065
8.560E8,10.052
8.576E8,10.044
8.592E8,10.041
8.609E8,10.041
8.625E8,10.047
8.641E8,10.056
8.658E8,10.070
8.674E8,10.086
8.690E8,10.107
8.706E8,10.130
8.723E8,10.156
8.739E8,10.185
8.755E8,10.217
8.771E8,10.252
8.787E8,10.288
8.804E8,10.327
8.820E8,10.371
8.836E8,10.417
8.853E8,10.464
8.869E8,10.512
8.885E8,10.562
8.901E8,10.613
8.918E8,10.664
8.934E8,10.716
8.950E8,10.768
8.966E8,10.821
8.982E8,10.873
8.999E8,10.926
9.015E8,10.982
9.031E8,11.037
9.047E8,11.091
9.064E8,11.145
9.080E8,11.198
9.096E8,11.249
9.113E8,11.298
9.129E8,11.346
9.145E8,11.392
9.161E8,11.437
9.178E8,11.479
9.194E8,11.519
9.210E8,11.563
9.226E8,11.604
9.242E8,11.642
9.259E8,11.678
9.275E8,11.710
9.291E8,11.740
9.308E8,11.767
9.324E8,11.791
9.340E8,11.812
9.356E8,11.829
9.372E8,11.843
9.389E8,11.855
9.405E8,11.870
9.421E8,11.881
9.438E8,11.888
9.454E8,11.892
9.470E8,11.893
9.486E8,11.890
9.503E8,11.884
9.519E8,11.875
