freq,noise
7.000E8,8.412
7.016E8,8.409
7.033E8,8.414
7.049E8,8.417
7.065E8,8.419
7.081E8,8.419
7.097E8,8.418
7.114E8,8.414
7.130E8,8.419
7.146E8,8.423
7.162E8,8.426
7.179E8,8.426
7.195E8,8.424
7.211E8,8.419
7.228E8,8.423
7.244E8,8.428
7.260E8,8.430
7.276E8,8.429
7.292E8,8.427
7.309E8,8.421
7.325E8,8.425
7.341E8,8.430
7.357E8,8.433
7.374E8,8.432
7.390E8,8.429
7.406E8,8.424
7.422E8,8.426
7.439E8,8.432
7.455E8,8.435
7.471E8,8.435
7.487E8,8.432
7.504E8,8.426
7.520E8,8.428
7.536E8,8.435
7.553E8,8.439
7.569E8,8.439
7.585E8,8.436
7.601E8,8.430
7.617E8,8.430
7.634E8,8.437
7.650E8,8.441
7.666E8,8.442
7.683E8,8.438
7.699E8,8.431
7.715E8,8.430
7.731E8,8.439
7.747E8,8.444
7.764E8,8.444
7.780E8,8.441
7.796E8,8.434
7.812E8,8.431
7.829E8,8.441
7.845E8,8.447
7.861E8,8.448
7.878E8,8.445
7.894E8,8.438
7.910E8,8.433
7.926E8,8.444
7.942E8,8.451
7.959E8,8.452
7.975E8,8.449
7.991E8,8.442
8.008E8,8.435
8.024E8,8.447
8.040E8,8.454
8.056E8,8.456
8.072E8,8.453
8.089E8,8.446
8.105E8,8.436
8.121E8,8.449
8.137E8,8.456
8.154E8,8.459
8.170E8,8.457
8.186E8,8.450
8.203E8,8.438
8.219E8,8.452
8.235E8,8.460
8.251E8,8.463
8.268E8,8.462
8.284E8,8.455
8.300E8,8.443
8.316E8,8.455
8.332E8,8.464
8.349E8,8.468
8.365E8,8.467
8.381E8,8.461
8.397E8,8.450
8.414E8,8.460
8.430E8,8.469
8.446E8,8.473
8.463E8,8.472
8.479E8,8.466
8.495E8,8.455
8.511E8,8.463
8.527E8,8.472
8.544E8,8.477
8.560E8,8.476
8.576E8,8.471
8.592E8,8.460
8.609E8,8.466
8.625E8,8.476
8.641E8,8.481
8.658E8,8.481
8.674E8,8.476
8.690E8,8.466
8.706E8,8.470
8.723E8,8.480
8.739E8,8.485
8.755E8,8.485
8.771E8,8.481
8.787E8,8.473
8.804E8,8.474
8.820E8,8.483
8.836E8,8.488
8.853E8,8.489
8.869E8,8.485
8.885E8,8.478
8.901E8,8.477
8.918E8,8.486
8.934E8,8.491
8.950E8,8.492
8.966E8,8.489
8.982E8,8.483
8.999E8,8.482
9.015E8,8.489
9.031E8,8.493
9.047E8,8.495
9.064E8,8.493
9.080E8,8.489
9.096E8,8.487
9.113E8,8.493
9.129E8,8.496
9.145E8,8.497
9.161E8,8.497
9.178E8,8.495
9.194E8,8.494
9.210E8,8.496
9.226E8,8.498
9.242E8,8.499
9.259E8,8.500
9.275E8,8.500
9.291E8,8.500
9.308E8,8.499
9.324E8,8.499
9.340E8,8.500
9.356E8,8.501
9.372E8,8.504
9.389E8,8.508
9.405E8,8.503
9.421E8,8.500
9.438E8,8.500
9.454E8,8.502
9.470E8,8.508
9.486E8,8.517
9.503E8,8.507
9.519E8,8.500
9.535E8,8.499
9.551E8,8.503
9.567E8,8.512
9.584E8,8.526
9.600E8,8.511
9.616E8,8.500
9.633E8,8.497
9.649E8,8.501
9.665E8,8.513
9.681E8,8.533
9.697E8,8.516
9.714E8,8.499
9.730E8,8.493
9.746E8,8.498
9.762E8,8.514
9.779E8,8.540
9.795E8,8.521
9.811E8,8.498
9.828E8,8.489
9.844E8,8.494
9.860E8,8.513
9.876E8,8.546
9.893E8,8.528
9.909E8,8.497
9.925E8,8.484
9.941E8,8.488
9.957E8,8.511
9.974E8,8.551
9.990E8,8.536
1.001E9,8.496
1.002E9,8.478
1.004E9,8.481
1.006E9,8.507
1.007E9,8.554
1.009E9,8.546
1.010E9,8.495
1.012E9,8.470
1.014E9,8.472
1.015E9,8.500
1.017E9,8.556
1.018E9,8.557
1.020E9,8.494
1.022E9,8.461
1.023E9,8.461
1.025E9,8.492
1.027E9,8.556
1.028E9,8.571
1.030E9,8.493
1.032E9,8.452
1.033E9,8.448
1.035E9,8.482
1.036E9,8.554
1.038E9,8.588
1.040E9,8.493
1.041E9,8.441
1.043E9,8.433
1.044E9,8.469
1.046E9,8.550
1.048E9,8.607
1.049E9,8.494
1.051E9,8.429
1.053E9,8.416
1.054E9,8.454
1.056E9,8.543
1.057E9,8.630
1.059E9,8.496
1.061E9,8.417
1.062E9,8.397
1.064E9,8.436
1.066E9,8.533
1.067E9,8.658
1.069E9,8.500
1.071E9,8.405
1.072E9,8.377
1.074E9,8.416
1.075E9,8.521
1.077E9,8.690
1.079E9,8.508
1.080E9,8.397
1.082E9,8.359
1.083E9,8.396
1.085E9,8.508
1.087E9,8.691
