freq,noise
7.000E8,9.230
7.016E8,9.223
7.033E8,9.217
7.049E8,9.211
7.065E8,9.205
7.081E8,9.200
7.097E8,9.195
7.114E8,9.190
7.130E8,9.185
7.146E8,9.179
7.162E8,9.174
7.179E8,9.169
7.195E8,9.164
7.211E8,9.159
7.228E8,9.154
7.244E8,9.149
7.260E8,9.144
7.276E8,9.139
7.292E8,9.134
7.309E8,9.130
7.325E8,9.125
7.341E8,9.120
7.357E8,9.115
7.374E8,9.111
7.390E8,9.106
7.406E8,9.101
7.422E8,9.096
7.439E8,9.092
7.455E8,9.088
7.471E8,9.085
7.487E8,9.081
7.504E8,9.078
7.520E8,9.074
7.536E8,9.070
7.553E8,9.067
7.569E8,9.063
7.585E8,9.060
7.601E8,9.056
7.617E8,9.053
7.634E8,9.049
7.650E8,9.046
7.666E8,9.043
7.683E8,9.040
7.699E8,9.036
7.715E8,9.033
7.731E8,9.030
7.747E8,9.027
7.764E8,9.024
7.780E8,9.020
7.796E8,9.017
7.812E8,9.014
7.829E8,9.011
7.845E8,9.009
7.861E8,9.006
7.878E8,9.004
7.894E8,9.001
7.910E8,8.999
7.926E8,8.996
7.942E8,8.994
7.959E8,8.991
7.975E8,8.989
7.991E8,8.986
8.008E8,8.984
8.024E8,8.981
8.040E8,8.979
8.056E8,8.977
8.072E8,8.975
8.089E8,8.973
8.105E8,8.971
8.121E8,8.969
8.137E8,8.967
8.154E8,8.965
8.170E8,8.963
8.186E8,8.961
8.203E8,8.959
8.219E8,8.957
8.235E8,8.956
8.251E8,8.954
8.268E8,8.953
8.284E8,8.951
8.300E8,8.949
8.316E8,8.948
8.332E8,8.946
8.349E8,8.944
8.365E8,8.943
8.381E8,8.941
8.397E8,8.940
8.414E8,8.938
8.430E8,8.937
8.446E8,8.936
8.463E8,8.935
8.479E8,8.934
8.495E8,8.933
8.511E8,8.932
8.527E8,8.931
8.544E8,8.930
8.560E8,8.929
8.576E8,8.928
8.592E8,8.927
8.609E8,8.926
8.625E8,8.925
8.641E8,8.924
8.658E8,8.923
8.674E8,8.922
8.690E8,8.921
8.706E8,8.921
8.723E8,8.920
8.739E8,8.919
8.755E8,8.918
8.771E8,8.917
8.787E8,8.916
8.804E8,8.916
8.820E8,8.915
8.836E8,8.915
8.853E8,8.915
8.869E8,8.914
8.885E8,8.914
8.901E8,8.914
8.918E8,8.913
8.934E8,8.913
8.950E8,8.912
8.966E8,8.912
8.982E8,8.912
8.999E8,8.911
9.015E8,8.911
9.031E8,8.911
9.047E8,8.911
9.064E8,8.911
9.080E8,8.911
9.096E8,8.911
9.113E8,8.910
9.129E8,8.910
9.145E8,8.910
9.161E8,8.910
9.178E8,8.910
9.194E8,8.910
9.210E8,8.910
9.226E8,8.910
