n,time
2,363.1312119047619
3,374.15813192488264
4,391.6550232456141
5,401.63784782608695
6,413.19673103448275
7,423.1716555
9,457.6592767676767
11,464.2582766497461
14,520.2420917098445
17,622.4572568965517
21,670.8141
26,729.8350852941176
32,737.2906323308271
39,914.0774865384616
48,1032.93996
60,1074.0984900000003
74,1247.1490900000001
91,1571.37517
113,1909.8959800000005
139,2372.3734444444444
172,2698.8148111111113
213,3263.0116375
263,3826.0973375
326,4576.672271428572
403,5879.6383166666665
498,6792.440340000001
615,8530.284566666665
761,10117.6407
941,12702.0762
1163,15430.6486
1438,18542.6911
1778,23768.9767
2198,28816.6301
2718,34946.6116
3360,43803.0394
4154,53108.8065
5136,67456.1221
6350,80603.7816
7852,100591.0485
9708,126903.8174
12002,150892.1419
14839,189225.8191
18347,236175.8924
22684,290181.1719
28046,365870.8644
34676,449316.5623
42872,558202.814439946
53006,700117.212906862
65536,859605.2633125865
