freq,t
6.000E8,18.599
6.020E8,18.514
6.040E8,18.428
6.060E8,18.342
6.080E8,18.259
6.100E8,18.178
6.120E8,18.097
6.140E8,18.015
6.160E8,17.931
6.180E8,17.847
6.200E8,17.765
6.220E8,17.687
6.240E8,17.608
6.260E8,17.529
6.280E8,17.449
6.300E8,17.368
6.320E8,17.288
6.340E8,17.213
6.360E8,17.137
6.380E8,17.061
6.400E8,16.984
6.420E8,16.907
6.440E8,16.829
6.460E8,16.756
6.480E8,16.683
6.500E8,16.610
6.520E8,16.536
6.540E8,16.461
6.560E8,16.386
6.580E8,16.315
6.600E8,16.244
6.620E8,16.173
6.640E8,16.102
6.660E8,16.030
6.680E8,15.957
6.700E8,15.887
6.720E8,15.819
6.740E8,15.750
6.760E8,15.681
6.780E8,15.612
6.800E8,15.542
6.820E8,15.473
6.840E8,15.407
6.860E8,15.341
6.880E8,15.274
6.900E8,15.207
6.920E8,15.139
6.940E8,15.073
6.960E8,15.009
6.980E8,14.944
7.000E8,14.880
7.020E8,14.815
7.040E8,14.750
7.060E8,14.685
7.080E8,14.623
7.100E8,14.561
7.120E8,14.499
7.140E8,14.437
7.160E8,14.374
7.180E8,14.312
7.200E8,14.252
7.220E8,14.192
7.240E8,14.132
7.260E8,14.072
7.280E8,14.012
7.300E8,13.952
7.320E8,13.893
7.340E8,13.836
7.360E8,13.778
7.380E8,13.721
7.400E8,13.663
7.420E8,13.605
7.440E8,13.548
7.460E8,13.493
7.480E8,13.438
7.500E8,13.383
7.520E8,13.327
7.540E8,13.272
7.560E8,13.217
7.580E8,13.164
7.600E8,13.111
7.620E8,13.058
7.640E8,13.006
7.660E8,12.953
7.680E8,12.900
7.700E8,12.849
7.720E8,12.799
7.740E8,12.748
7.760E8,12.698
7.780E8,12.647
7.800E8,12.597
7.820E8,12.548
7.840E8,12.500
7.860E8,12.452
7.880E8,12.403
7.900E8,12.355
7.920E8,12.307
7.940E8,12.261
7.960E8,12.215
7.980E8,12.169
8.000E8,12.123
8.020E8,12.077
8.040E8,12.032
8.060E8,11.987
8.080E8,11.944
8.100E8,11.900
8.120E8,11.857
8.140E8,11.813
8.160E8,11.770
8.180E8,11.728
8.200E8,11.686
8.220E8,11.645
8.240E8,11.604
8.260E8,11.563
8.280E8,11.522
8.300E8,11.482
8.320E8,11.443
8.340E8,11.404
8.360E8,11.365
8.380E8,11.327
8.400E8,11.288
8.420E8,11.250
8.440E8,11.213
8.460E8,11.177
8.480E8,11.140
8.500E8,11.104
8.520E8,11.068
8.540E8,11.032
8.560E8,10.997
8.580E8,10.963
8.600E8,10.929
8.620E8,10.895
8.640E8,10.861
8.660E8,10.827
8.680E8,10.795
8.700E8,10.763
8.720E8,10.731
8.740E8,10.699
8.760E8,10.668
8.780E8,10.636
8.800E8,10.606
8.820E8,10.576
8.840E8,10.546
8.860E8,10.517
8.880E8,10.488
8.900E8,10.458
8.920E8,10.430
8.940E8,10.402
8.960E8,10.375
8.980E8,10.348
9.000E8,10.321
9.020E8,10.293
9.040E8,10.267
9.060E8,10.241
9.080E8,10.216
9.100E8,10.191
9.120E8,10.166
9.140E8,10.141
9.160E8,10.116
9.180E8,10.093
9.200E8,10.071
9.220E8,10.048
9.240E8,10.025
9.260E8,10.002
9.280E8,9.979
9.300E8,9.958
9.320E8,9.937
9.340E8,9.916
9.360E8,9.896
9.380E8,9.875
9.400E8,9.854
9.420E8,9.834
9.440E8,9.816
9.460E8,9.797
9.480E8,9.779
9.500E8,9.760
9.520E8,9.741
9.540E8,9.723
9.560E8,9.706
9.580E8,9.690
9.600E8,9.673
9.620E8,9.656
9.640E8,9.639
9.660E8,9.623
9.680E8,9.609
9.700E8,9.594
9.720E8,9.579
9.740E8,9.565
9.760E8,9.549
9.780E8,9.534
9.800E8,9.522
9.820E8,9.509
9.840E8,9.497
9.860E8,9.484
9.880E8,9.470
9.900E8,9.457
9.920E8,9.446
9.940E8,9.436
9.960E8,9.425
9.980E8,9.414
1.000E9,9.402
1.002E9,9.390
1.004E9,9.380
1.006E9,9.372
1.008E9,9.363
1.010E9,9.354
1.012E9,9.344
1.014E9,9.334
1.016E9,9.325
1.018E9,9.319
1.020E9,9.312
1.022E9,9.304
1.024E9,9.296
1.026E9,9.288
1.028E9,9.279
1.030E9,9.275
1.032E9,9.270
1.034E9,9.264
1.036E9,9.258
1.038E9,9.251
1.040E9,9.243
1.042E9,9.240
1.044E9,9.237
1.046E9,9.233
1.048E9,9.228
1.050E9,9.223
1.052E9,9.216
1.054E9,9.214
1.056E9,9.213
1.058E9,9.210
1.060E9,9.207
1.062E9,9.203
1.064E9,9.198
1.066E9,9.197
1.068E9,9.197
1.070E9,9.196
1.072E9,9.195
1.074E9,9.192
1.076E9,9.189
1.078E9,9.187
1.080E9,9.189
1.082E9,9.190
1.084E9,9.190
1.086E9,9.189
1.088E9,9.186
1.090E9,9.185
1.092E9,9.189
1.094E9,9.191
1.096E9,9.192
1.098E9,9.192
1.100E9,9.192
1.102E9,9.190
1.104E9,9.195
1.106E9,9.199
1.108E9,9.201
1.110E9,9.203
1.112E9,9.203
1.114E9,9.203
1.116E9,9.208
1.118E9,9.213
1.120E9,9.217
1.122E9,9.220
1.124E9,9.222
1.126E9,9.222
1.128E9,9.227
1.130E9,9.233
1.132E9,9.239
1.134E9,9.243
1.136E9,9.245
1.138E9,9.247
1.140E9,9.252
1.142E9,9.259
1.144E9,9.266
1.146E9,9.271
1.148E9,9.275
1.150E9,9.277
1.152E9,9.281
1.154E9,9.290
1.156E9,9.297
1.158E9,9.304
1.160E9,9.309
1.162E9,9.312
1.164E9,9.316
1.166E9,9.325
1.168E9,9.334
1.170E9,9.341
1.172E9,9.347
1.174E9,9.352
1.176E9,9.356
1.178E9,9.365
1.180E9,9.374
1.182E9,9.382
1.184E9,9.389
1.186E9,9.395
1.188E9,9.400
1.190E9,9.409
1.192E9,9.418
1.194E9,9.427
1.196E9,9.435
1.198E9,9.442
1.200E9,9.448
1.202E9,9.456
1.204E9,9.466
1.206E9,9.475
1.208E9,9.484
1.210E9,9.491
1.212E9,9.498
1.214E9,9.506
1.216E9,9.516
1.218E9,9.526
1.220E9,9.535
1.222E9,9.543
1.224E9,9.551
1.226E9,9.559
1.228E9,9.569
1.230E9,9.579
1.232E9,9.589
1.234E9,9.598
1.236E9,9.606
1.238E9,9.615
1.240E9,9.625
1.242E9,9.635
1.244E9,9.644
1.246E9,9.654
1.248E9,9.663
1.250E9,9.672
1.252E9,9.682
1.254E9,9.692
1.256E9,9.702
1.258E9,9.712
1.260E9,9.721
1.262E9,9.731
1.264E9,9.741
1.266E9,9.751
1.268E9,9.761
