freq,noise
0.6,17.785
0.602,17.695
0.604,17.603
0.606,17.511
0.608,17.423
0.61,17.337
0.612,17.251
0.614,17.163
0.616,17.075
0.618,16.986
0.62,16.899
0.622,16.817
0.624,16.733
0.626,16.649
0.628,16.565
0.63,16.48
0.632,16.395
0.634,16.316
0.636,16.236
0.638,16.156
0.64,16.075
0.642,15.993
0.644,15.911000000000001
0.646,15.835
0.648,15.759
0.65,15.682
0.652,15.604000000000001
0.654,15.526000000000002
0.656,15.448
0.658,15.373000000000001
0.66,15.299000000000001
0.662,15.225000000000001
0.664,15.151000000000002
0.666,15.076
0.668,15.001000000000001
0.67,14.928
0.672,14.857000000000001
0.674,14.786000000000001
0.676,14.714
0.678,14.642000000000001
0.68,14.57
0.682,14.499
0.684,14.431000000000001
0.686,14.363000000000001
0.688,14.294
0.69,14.225000000000001
0.692,14.156
0.694,14.087000000000002
0.696,14.022
0.698,13.956000000000001
0.7,13.89
0.702,13.824
0.704,13.758000000000001
0.706,13.691
0.708,13.628
0.71,13.565000000000001
0.712,13.502
0.714,13.439
0.716,13.376000000000001
0.718,13.312000000000001
0.72,13.251000000000001
0.722,13.191
0.724,13.131
0.726,13.071000000000002
0.728,13.010000000000002
0.73,12.950000000000001
0.732,12.891
0.734,12.834000000000001
0.736,12.776000000000002
0.738,12.719000000000001
0.74,12.661000000000001
0.742,12.603000000000002
0.744,12.547
0.746,12.492
0.748,12.438
0.75,12.383000000000001
0.752,12.328000000000001
0.754,12.274000000000001
0.756,12.22
0.758,12.168000000000001
0.76,12.116000000000001
0.762,12.064
0.764,12.012
0.766,11.961
0.768,11.909
0.77,11.860000000000001
0.772,11.811
0.774,11.762
0.776,11.713000000000001
0.778,11.664000000000001
0.78,11.616000000000001
0.782,11.569
0.784,11.523000000000001
0.786,11.477
0.788,11.430000000000001
0.79,11.384
0.792,11.339
0.794,11.294
0.796,11.251000000000001
0.798,11.208
0.8,11.164000000000001
0.802,11.121
0.804,11.078000000000001
0.806,11.037
0.808,10.996
0.81,10.955
0.812,10.915000000000001
0.814,10.874
0.816,10.834000000000001
0.818,10.795
0.82,10.757000000000001
0.822,10.719000000000001
0.824,10.682
0.826,10.644
0.828,10.607000000000001
0.83,10.57
0.832,10.535
0.834,10.5
0.836,10.465
0.838,10.430000000000001
0.84,10.395000000000001
0.842,10.361
0.844,10.328000000000001
0.846,10.296000000000001
0.848,10.264000000000001
0.85,10.232000000000001
0.852,10.200000000000001
0.854,10.168000000000001
0.856,10.138
0.858,10.109
0.86,10.079
0.862,10.05
0.864,10.021
0.866,9.992
0.868,9.964
0.87,9.937000000000001
0.872,9.91
0.874,9.883000000000001
0.876,9.857000000000001
0.878,9.83
0.88,9.805000000000001
0.882,9.780000000000001
0.884,9.756
0.886,9.732000000000001
0.888,9.708
0.89,9.684000000000001
0.892,9.661
0.894,9.639000000000001
0.896,9.618
0.898,9.596
0.9,9.575000000000001
0.902,9.553
0.904,9.532
0.906,9.513
0.908,9.494
0.91,9.475
0.912,9.456
0.914,9.437
0.916,9.418000000000001
0.918,9.401
0.92,9.384
0.922,9.368
0.924,9.351
0.926,9.335
0.928,9.318
0.93,9.303
0.932,9.289
0.934,9.275
0.936,9.261000000000001
0.938,9.246
0.94,9.232000000000001
0.942,9.219
0.944,9.207
0.946,9.195
0.948,9.183
0.95,9.171000000000001
0.952,9.159
0.954,9.148
0.956,9.139000000000001
0.958,9.129
0.96,9.119
0.962,9.11
0.964,9.1
0.966,9.09
0.968,9.083
0.97,9.076
0.972,9.068
0.974,9.06
0.976,9.052
0.978,9.044
0.98,9.039
0.982,9.034
0.984,9.029
0.986,9.023
0.988,9.017
0.99,9.011000000000001
0.992,9.007
0.994,9.004
0.996,9.001
0.998,8.998000000000001
1.0,8.994
1.002,8.989
1.004,8.987
1.006,8.986
1.008,8.985
1.01,8.983
1.012,8.981
1.014,8.978
1.016,8.977
1.018,8.978
1.02,8.979000000000001
1.022,8.979000000000001
1.024,8.979000000000001
1.026,8.978
1.028,8.977
1.03,8.98
1.032,8.983
1.034,8.985
1.036,8.986
1.038,8.987
1.04,8.987
1.042,8.992
1.044,8.997
1.046,9.0
1.048,9.003
1.05,9.006
1.052,9.007
1.054,9.013
1.056,9.019
1.058,9.025
1.06,9.029
1.062,9.033
1.064,9.036
1.066,9.042
1.068,9.05
1.07,9.057
1.072,9.063
1.074,9.068
1.076,9.073
1.078,9.079
1.08,9.089
1.082,9.097
1.084,9.105
1.086,9.111
1.088,9.117
1.09,9.123000000000001
1.092,9.135
1.094,9.145
1.096,9.153
1.098,9.161
1.1,9.168000000000001
1.102,9.174
1.104,9.187
1.106,9.198
1.108,9.209
1.11,9.218
1.112,9.226
1.114,9.232000000000001
1.116,9.245000000000001
1.118,9.258000000000001
1.12,9.269
1.122,9.280000000000001
1.124,9.289
1.126,9.296000000000001
1.128,9.309000000000001
1.13,9.323
1.132,9.335
1.134,9.347
1.136,9.357000000000001
1.138,9.366
1.14,9.378
1.142,9.392
1.144,9.406
1.146,9.418000000000001
1.148,9.429
1.15,9.439
1.152,9.450000000000001
1.154,9.466000000000001
1.156,9.481
1.158,9.494
1.16,9.506
1.162,9.517
1.164,9.527000000000001
1.166,9.544
1.168,9.559000000000001
1.17,9.573
1.172,9.586
1.174,9.597
1.176,9.608
1.178,9.624
1.18,9.64
1.182,9.655000000000001
1.184,9.668000000000001
1.186,9.681000000000001
1.188,9.692
1.19,9.707
1.192,9.723
1.194,9.739
1.196,9.753
1.198,9.766
1.2,9.778
1.202,9.793000000000001
1.204,9.809000000000001
1.206,9.824
1.208,9.839
1.21,9.853000000000002
1.212,9.866000000000001
1.214,9.88
1.216,9.896
1.218,9.912
1.22,9.927000000000001
1.222,9.941
1.224,9.954
1.226,9.968
1.228,9.984
1.23,10.0
1.232,10.015
1.234,10.029
1.236,10.044
1.238,10.057
1.24,10.073
1.242,10.088000000000001
1.244,10.104000000000001
1.246,10.118
1.248,10.133000000000001
1.25,10.147
1.252,10.162
1.254,10.177000000000001
1.256,10.192
1.258,10.207
1.26,10.222000000000001
1.262,10.237
