freq,s11,s21,s12,s22
6.000E8,-5.667,36.475,-76.703,-35.939
6.020E8,-5.753,36.510,-76.604,-36.120
6.040E8,-5.840,36.545,-76.507,-36.302
6.060E8,-5.929,36.579,-76.410,-36.483
6.080E8,-6.018,36.613,-76.313,-36.664
6.100E8,-6.107,36.646,-76.218,-36.845
6.120E8,-6.198,36.678,-76.123,-37.024
6.140E8,-6.290,36.711,-76.028,-37.204
6.160E8,-6.384,36.743,-75.934,-37.382
6.180E8,-6.479,36.775,-75.841,-37.559
6.200E8,-6.574,36.806,-75.748,-37.734
6.220E8,-6.670,36.836,-75.656,-37.906
6.240E8,-6.768,36.867,-75.564,-38.077
6.260E8,-6.867,36.897,-75.473,-38.245
6.280E8,-6.967,36.926,-75.382,-38.410
6.300E8,-7.069,36.956,-75.292,-38.572
6.320E8,-7.172,36.985,-75.203,-38.731
6.340E8,-7.275,37.013,-75.114,-38.884
6.360E8,-7.380,37.041,-75.026,-39.033
6.380E8,-7.486,37.068,-74.938,-39.178
6.400E8,-7.594,37.096,-74.851,-39.317
6.420E8,-7.703,37.123,-74.764,-39.451
6.440E8,-7.814,37.149,-74.677,-39.578
6.460E8,-7.925,37.175,-74.592,-39.698
6.480E8,-8.037,37.201,-74.507,-39.812
6.500E8,-8.151,37.226,-74.422,-39.918
6.520E8,-8.267,37.251,-74.338,-40.017
6.540E8,-8.384,37.276,-74.254,-40.108
6.560E8,-8.504,37.301,-74.171,-40.191
6.580E8,-8.623,37.324,-74.089,-40.265
6.600E8,-8.744,37.348,-74.007,-40.330
6.620E8,-8.866,37.371,-73.925,-40.387
6.640E8,-8.991,37.394,-73.844,-40.435
6.660E8,-9.117,37.417,-73.763,-40.475
6.680E8,-9.245,37.439,-73.683,-40.507
6.700E8,-9.374,37.461,-73.603,-40.529
6.720E8,-9.504,37.482,-73.524,-40.543
6.740E8,-9.636,37.503,-73.446,-40.549
6.760E8,-9.770,37.524,-73.367,-40.548
6.780E8,-9.906,37.545,-73.290,-40.539
6.800E8,-10.044,37.565,-73.212,-40.523
6.820E8,-10.183,37.585,-73.135,-40.500
6.840E8,-10.322,37.605,-73.059,-40.470
